Numero|FIFADisplayName|Country|LastName|FirstName|ShirtName|POS|Height|Caps|Goals
1|Nahuel GUZMAN|Argentina|GUZMÁN|Nahuel Ignacio|GUZMÁN|GK|192|6|0
2|Gabriel MERCADO|Argentina|MERCADO|Gabriel Ivan|MERCADO|DF|181|20|3
3|Nicolas TAGLIAFICO|Argentina|TAGLIAFICO|Nicolás Alejandro|TAGLIAFICO|DF|169|4|0
4|Cristian ANSALDI|Argentina|ANSALDI|Cristian Daniel|ANSALDI|DF|181|5|1
5|Lucas BIGLIA|Argentina|BIGLIA|Lucas Rodrigo|BIGLIA|MF|175|57|1
6|Federico FAZIO|Argentina|FAZIO|Federico Julián|FAZIO|DF|199|9|1
7|Ever BANEGA|Argentina|BANEGA|Ever Maximiliano David|BANEGA|MF|175|62|6
8|Marcos ACUNA|Argentina|ACUÑA|Marcos Javier|ACUÑA|DF|172|10|0
9|Gonzalo HIGUAIN|Argentina|HIGUAIN|Gonzalo Gerardo|HIGUAÍN|FW|184|72|31
10|Lionel MESSI|Argentina|MESSI|Lionel Andres|MESSI|FW|170|124|64
11|Angel DI MARIA|Argentina|DI MARIA|Angel Fabian|DI MARÍA|MF|178|94|19
12|Franco ARMANI|Argentina|ARMANI|Franco|ARMANI|GK|189|0|0
13|Maximiliano MEZA|Argentina|MEZA|Maximiliano Eduardo|MEZA|MF|180|2|0
14|Javier MASCHERANO|Argentina|MASCHERANO|Javier Alejandro|MASCHERANO|DF|174|143|3
15|Enzo PEREZ|Argentina|PEREZ|Enzo Nicolas|PÉREZ|MF|178|23|1
16|Marcos ROJO|Argentina|ROJO|Faustino Marcos Alberto|MARCOS ROJO|DF|189|56|2
17|Nicolas OTAMENDI|Argentina|OTAMENDI|Nicolas Hernan Gonzalo|OTAMENDI|DF|181|54|4
18|Eduardo SALVIO|Argentina|SALVIO|Eduardo Antonio|SALVIO|DF|167|9|0
19|Sergio AGUERO|Argentina|AGÜERO|Sergio Leonel|KUN AGUERO|FW|172|85|37
20|Giovani LO CELSO|Argentina|LO CELSO|Giovani|LO CELSO|MF|177|5|0
21|Paulo DYBALA|Argentina|DYBALA|Paulo Exequiel|DYBALA|FW|177|12|0
22|Cristian PAVON|Argentina|PAVÓN|Cristian David|PAVÓN|MF|169|5|0
23|Wilfredo CABALLERO|Argentina|CABALLERO|Wilfredo Daniel|CABALLERO|GK|186|3|0
1|Mathew RYAN|Australia|RYAN|Mathew David|RYAN|GK|184|44|0
2|Milos DEGENEK|Australia|DEGENEK|Milos|DEGENEK|DF|187|18|0
3|James MEREDITH|Australia|MEREDITH|James Gregory|MEREDITH|DF|179|2|0
4|Tim CAHILL|Australia|CAHILL|Timothy Filiga|CAHILL|FW|180|106|50
5|Mark MILLIGAN|Australia|MILLIGAN|Mark Daniel|MILLIGAN|DF|178|68|6
6|Matthew JURMAN|Australia|JURMAN|Matthew John|JURMAN|DF|190|4|0
7|Mathew LECKIE|Australia|LECKIE|Mathew Allan|LECKIE|FW|181|53|8
8|Massimo LUONGO|Australia|LUONGO|Massimo Corey|LUONGO|MF|176|36|5
9|Tomi JURIC|Australia|JURIC|Tomi|JURIC|FW|190|35|8
10|Robbie KRUSE|Australia|KRUSE|Robbie Thomas|KRUSE|FW|180|64|5
11|Andrew NABBOUT|Australia|NABBOUT|Andrew|NABBOUT|FW|178|4|1
12|Brad JONES|Australia|JONES|Bradley Scott|JONES|GK|193|6|0
13|Aaron MOOY|Australia|MOOY|Aaron Frank|MOOY|MF|173|34|5
14|Jamie MacLAREN|Australia|MACLAREN|Jamie|MACLAREN|FW|178|6|0
15|Mile JEDINAK|Australia|JEDINAK|Michael John|JEDINAK|MF|188|76|18
16|Aziz BEHICH|Australia|BEHICH|Aziz|BEHICH|DF|170|23|2
17|Daniel ARZANI|Australia|ARZANI|Daniel|ARZANI|FW|171|2|1
18|Danny VUKOVIC|Australia|VUKOVIC|Daniel|VUKOVIC|GK|187|1|0
19|Joshua RISDON|Australia|RISDON|Joshua Robert|RISDON|DF|169|8|0
20|Trent SAINSBURY|Australia|SAINSBURY|Trent Lucas|SAINSBURY|DF|183|35|3
